genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['baton rouge rap''trap']",Young Bo,0.145,0.986,229669,0.597,2.18E-06,0.197,-6.809,0.308,115.004,0.761,54,8,1,2
[],Young Boss,0.145,0.986,229669,0.597,2.18E-06,0.197,-6.809,0.308,115.004,0.761,43,8,1,1
"['dark trap''emo rap''glitchcore''meme rap''underground hip hop''vapor trap']",ITSOKTOCRY,0.212,0.985,138715,0.438,5.41E-05,0.116,-11.004,0.0712,118.079,0.584,60,1,1,2
['sad rap'],347aidan,0.671,0.98,180139,0.413,7.95E-05,0.17,-11.052,0.101,119.993,0.764,77,8,0,2
['cali rap'],Ambjaay,0.000143,0.978,109091,0.477,0,0.133,-8.159,0.155,110.002,0.196,64,8,1,2
[],Impacto Mc,0.00793,0.975,200737,0.56,0,0.0818,-7.035,0.193,116.458,0.725,46,8,1,2
['dfw rap'],Lil Ronny Motha F,0.0452,0.975,152214,0.393,0,0.103,-10.852,0.439,120.001,0.288,60,0,1,1
[],Punkin Machine,0.0071,0.975,338844,0.57,0.28,0.072,-10.604,0.0481,126.908,0.968,42,6,0,2
['viral rap'],Championxiii,0.039,0.974,133565,0.157,0,0.279,-14.201,0.375,115.023,0.522,70,2,1,2
['viral rap'],KBFR,0.0488,0.974,110063,0.472,0.000157,0.116,-11.848,0.447,126.065,0.806,72,11,0,2
['comedy rap'],Muck Sticky,0.18,0.971,260920,0.282,0.000688,0.0986,-12.243,0.161,115.061,0.672,40,4,0,2
['atl trap'],Street Money Boochie,0.0361,0.969,198095,0.491,0,0.118,-9.859,0.233,126.048,0.768,59,2,1,2
[],A2M,0.464,0.968,220030,0.785,4.70E-06,0.272,-8.084,0.32,119.953,0.803,64,7,0,2
['hard minimal techno'],Leechy Alexej,0.0159,0.968,380630,0.575,0.0419,0.0946,-9.654,0.134,128.018,0.451,0,2,1,3
[],Min-O-Taur,0.0159,0.968,380630,0.575,0.0419,0.0946,-9.654,0.134,128.018,0.451,0,2,1,1
[],Minotaur,0.0159,0.968,380630,0.575,0.0419,0.0946,-9.654,0.134,128.018,0.451,0,2,1,2
"['afroswing''dancehall''uk dancehall']",Afro B,0.0206,0.966,199000,0.633,4.06E-06,0.0715,-6.392,0.101,108.011,0.767,65,2,1,2
['chicano rap'],Mellow Man Ace,0.0678,0.966,258533,0.505,0,0.197,-14.762,0.111,113.592,0.826,44,1,1,2
[],Songs To Wear Pants To,0.29,0.964,93559,0.554,0,0.0911,-10.215,0.0598,118.124,0.855,50,5,1,2
['future funk'],glue70,0.0734,0.964,106154,0.658,0.0348,0.0706,-6.896,0.22,104.024,0.731,56,0,1,2